DC.identifier,DC.source,DC.date,DC.title,DC.publisher,filename_html,filename,n_tokens
813341,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.813341.php,03.06.2019,"""JazzBrothers"" - Swing- Fox- Blues am 18.06.2019 im Maria-Rimkus-Haus",Bezirksamt Steglitz-Zehlendorf,813341.html,813341.txt,767
815249,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.815249.php,03.06.2019,Großes Bahnhofsfest in Lichterfelde West am 15.06.2019,Bezirksamt Steglitz-Zehlendorf,815249.html,815249.txt,894
815246,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.815246.php,03.06.2019,Verkehrssicherheit im Test - mit der Polizei Berlin am 13.06.2019 in der Ingeborg-Drewitz-Bibliothek,Bezirksamt Steglitz-Zehlendorf,815246.html,815246.txt,771
815526,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.815526.php,03.06.2019,"Ausstellung: „(Magic Moments) Life through my lens"" - Fotografien von Thomas Engelskircher vom 06.06. bis 08.07.2019 in der Ingeborg-Drewitz-Bibliothek",Bezirksamt Steglitz-Zehlendorf,815526.html,815526.txt,850
817943,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.817943.php,31.05.2019,"Kino ""Kiste"" im Juni 2019",Bezirksamt Marzahn-Hellersdorf,817943.html,817943.txt,969
816056,https://www.berlin.de/ba-reinickendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.816056.php,31.05.2019,Bezirksstadtrat Dollase lobt Umwelt-Aktionen der Bettina-von-Arnim-Schule,Bezirksamt Reinickendorf,816056.html,816056.txt,706
816043,https://www.berlin.de/ba-mitte/aktuelles/pressemitteilungen/2019/pressemitteilung.816043.php,31.05.2019,Haushaltsbefragung zur sozialverträglichen Quartiersentwicklung in der Nördlichen Luisenstadt Bewohnerinnen und Bewohner werden um Mitwirkung gebeten!,Bezirksamt Mitte,816043.html,816043.txt,1082
816033,https://www.berlin.de/ba-charlottenburg-wilmersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.816033.php,31.05.2019,Filmreihe #2030 präsentiert „El abrazo de la serpiente“ (Der Schamane und die Schlange) von Ciro Guerra – Nachhaltigkeitsziele der Vereinten Nationen,Bezirksamt Charlottenburg-Wilmersdorf,816033.html,816033.txt,1368
816030,https://www.berlin.de/sen/bjf/service/presse/pressearchiv-2019/pressemitteilung.816030.php,31.05.2019,Übergang von der Grundschule zur Oberschule: Mehr als 90 % erhalten einen Platz an ihrer Wunschschule,"Senatsverwaltung für Bildung, Jugend und Familie",816030.html,816030.txt,741
816002,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2019/pressemitteilung.816002.php,31.05.2019,Neuer Stahl für Johannisthal,Bezirksamt Treptow-Köpenick,816002.html,816002.txt,800
